ms	datetime	channel	type	magnitude	minute_total	baseline	organic_n
1541446498000	2018-11-05 19:34:58 UTC	pdp	minor	81	497	1.3	55
1541446499000	2018-11-05 19:34:59 UTC	pdp	minor	88	497	1.3	54
1541452404000	2018-11-05 21:13:24 UTC	pdp	minor	56	56	0.8	60
1541459858000	2018-11-05 23:17:38 UTC	pdp	minor	52	52	0.7	60
1541471058000	2018-11-06 02:24:18 UTC	pdp	minor	56	56	0.5	60
1541532621000	2018-11-06 19:30:21 UTC	ts	audit	6138	6138	0.4	60
1541533042000	2018-11-06 19:37:22 UTC	pdp	minor	-296	-296	2.4	60
1541535376000	2018-11-06 20:16:16 UTC	pdp	audit	3493	3493	2.7	60
1541538263000	2018-11-06 21:04:23 UTC	pdp	minor	78	78	2.7	60
1541538804000	2018-11-06 21:13:24 UTC	pdp	minor	52	52	2.0	60
1541542489000	2018-11-06 22:14:49 UTC	pdp	minor	101	101	2.7	60
1541543285000	2018-11-06 22:28:05 UTC	pdp	minor	92	92	3.0	60
1541546063000	2018-11-06 23:14:23 UTC	pdp	minor	85	85	2.1	60
1541546273000	2018-11-06 23:17:53 UTC	pdp	minor	58	58	2.7	60
1541565083000	2018-11-07 04:31:23 UTC	ts	minor	64	64	1.4	60
1541576735000	2018-11-07 07:45:35 UTC	pdp	minor	76	152	0.6	60
1541576738000	2018-11-07 07:45:38 UTC	pdp	minor	76	152	0.6	59
1541578485000	2018-11-07 08:14:45 UTC	pdp	minor	100	-3	0.9	60
1541578497000	2018-11-07 08:14:57 UTC	pdp	minor	-103	-3	0.8	59
1541578512000	2018-11-07 08:15:12 UTC	pdp	minor	117	117	0.1	58
1541579093000	2018-11-07 08:24:53 UTC	pdp	minor	62	62	0.7	60
1541584677000	2018-11-07 09:57:57 UTC	ts	minor	74	74	0.7	60
1541586158000	2018-11-07 10:22:38 UTC	pdp	minor	211	211	1.0	60
1541586256000	2018-11-07 10:24:16 UTC	pdp	minor	151	206	-2.5	60
1541586272000	2018-11-07 10:24:32 UTC	pdp	minor	55	206	-1.1	59
1541586338000	2018-11-07 10:25:38 UTC	pdp	minor	-273	-273	0.9	60
1541586481000	2018-11-07 10:28:01 UTC	pdp	audit	1543	1543	0.5	60
1541587127000	2018-11-07 10:38:47 UTC	ts	minor	82	82	1.2	60
1541592259000	2018-11-07 12:04:19 UTC	pdp	audit	4880	4880	0.8	60
1541593411000	2018-11-07 12:23:31 UTC	pdp	minor	60	60	1.3	60
